GPSXSelect GPSYSelect GPSZSelect
-25.917 750.19 57.595
-25.917 750.19 57.595
-23.534 748.31 57.504
-21.198 746.38 57.41
-18.9 744.41 57.31
-16.635 742.42 57.198
-16.635 742.42 57.198
-14.403 740.38 57.076
-12.194 738.33 56.927
-12.194 738.33 56.927
-10.01 736.24 56.782
-7.8523 734.13 56.624
-5.7164 732 56.44
-5.7164 732 56.44
-3.6011 729.86 56.232
-1.4996 727.69 56.009
-1.4996 727.69 56.009
0.58136 725.51 55.76
2.647 723.32 55.502
2.647 723.32 55.502
4.6988 721.1 55.226
6.7331 718.87 54.939
8.758 716.63 54.643
10.77 714.38 54.326
10.77 714.38 54.326
12.768 712.1 54.004
14.751 709.81 53.661
14.751 709.81 53.661
16.722 707.51 53.307
18.674 705.19 52.932
20.601 702.85 52.528
20.601 702.85 52.528
22.495 700.49 52.117
24.34 698.1 51.702
24.34 698.1 51.702
26.128 695.66 51.287
27.849 693.19 50.877
29.472 690.64 50.503
31.002 688.04 50.153
31.002 688.04 50.153
32.404 685.38 49.847
33.69 682.64 49.584
33.69 682.64 49.584
34.87 679.87 49.353
35.965 677.05 49.126
36.969 674.2 48.912
36.969 674.2 48.912
37.896 671.33 48.697
38.751 668.45 48.489
38.751 668.45 48.489
39.536 665.54 48.278
39.536 665.54 48.278
40.933 659.7 47.9
40.933 659.7 47.9
41.558 656.76 47.745
41.558 656.76 47.745
42.147 653.8 47.578
42.702 650.85 47.411
43.231 647.88 47.226
43.231 647.88 47.226
43.729 644.9 47.072
44.201 641.93 46.912
44.201 641.93 46.912
44.654 638.94 46.755
45.085 635.96 46.605
45.501 632.97 46.459
45.501 632.97 46.459
45.894 629.97 46.306
46.278 626.98 46.152
46.278 626.98 46.152
46.65 623.99 46.004
47.011 621 45.852
47.366 618 45.697
47.72 615 45.529
47.72 615 45.529
48.068 612 45.365
48.068 612 45.365
48.412 608.99 45.19
48.742 605.98 45.019
49.067 602.97 44.831
49.067 602.97 44.831
49.376 599.95 44.636
49.675 596.94 44.448
49.675 596.94 44.448
49.963 593.93 44.258
50.24 590.93 44.073
50.516 587.92 43.852
50.516 587.92 43.852
50.79 584.92 43.628
51.063 581.93 43.376
51.063 581.93 43.376
51.336 578.94 43.116
51.605 575.95 42.87
51.605 575.95 42.87
51.874 572.95 42.614
52.133 569.96 42.361
52.133 569.96 42.361
52.378 566.96 42.09
52.607 563.97 41.808
52.828 560.99 41.503
52.828 560.99 41.503
53.04 558 41.192
53.24 555 40.891
53.24 555 40.891
53.442 552.01 40.572
53.644 549.01 40.225
53.644 549.01 40.225
53.847 546.01 39.867
54.057 543.01 39.478
54.267 540.01 39.084
54.267 540.01 39.084
54.468 537 38.706
54.658 533.98 38.315
54.658 533.98 38.315
54.838 530.97 37.92
55 527.94 37.525
55.156 524.91 37.139
55.156 524.91 37.139
55.299 521.88 36.751
55.443 518.85 36.331
55.443 518.85 36.331
55.588 515.82 35.909
55.73 512.77 35.482
55.73 512.77 35.482
55.869 509.73 35.046
55.999 506.68 34.624
55.999 506.68 34.624
56.121 503.63 34.19
56.233 500.58 33.766
56.333 497.52 33.353
56.333 497.52 33.353
56.429 494.46 32.947
56.517 491.4 32.55
56.517 491.4 32.55
56.605 488.33 32.167
56.689 485.26 31.771
56.774 482.19 31.372
56.774 482.19 31.372
56.774 482.19 31.372
56.942 476.03 30.609
57.071 469.86 29.87
57.123 466.77 29.491
57.167 463.69 29.125
57.202 460.61 28.75
57.202 460.61 28.75
57.241 457.52 28.371
57.273 454.44 27.979
57.299 451.37 27.583
57.313 448.29 27.192
57.313 448.29 27.192
57.321 445.21 26.792
57.32 442.13 26.387
57.313 439.06 25.979
57.298 435.98 25.569
57.298 435.98 25.569
57.282 432.91 25.148
57.266 429.84 24.714
57.237 426.77 24.282
